filter,till,till_date,fert_comp,spr_fert,fert_date,sum_fert,fert_app,cover,TN_mean,TN_min,TN_max,TDP_mean,TDP_min,TDP_max,CY_mean,CY_min,CY_max
5,No Till,NA,28-10-10,1000,1-Feb,500,Injection,None,57.71695492,6.12791142,205.9982739,3.491977977,0.8002465,6.600405735,3.44967559,1.281590037,4.31220824
0,No Till,NA,28-10-10,1000,1-Feb,500,Broadcast,Winter Rye,130.9085121,11.02567214,309.4782832,10.31034057,4.949459401,16.8808558,3.449673745,1.281590316,4.31220824
1,No Till,NA,28-10-10,1000,1-Feb,500,Broadcast,Winter Rye,77.37930852,6.684157807,240.4039394,5.852939486,1.972499077,12.45361588,3.449673745,1.281590316,4.31220824
3,No Till,NA,28-10-10,1000,1-Feb,500,Broadcast,Winter Rye,72.56693418,6.223256239,240.4039394,5.497292579,1.668231237,12.45361588,3.449673745,1.281590316,4.31220824
5,No Till,NA,28-10-10,1000,1-Feb,500,Broadcast,Winter Rye,70.46169746,6.042503134,240.4039394,5.357396971,1.565241834,12.45361588,3.449673745,1.281590316,4.31220824
0,No Till,NA,28-10-10,1000,1-May,250,Broadcast,Winter Rye,101.9367952,18.92206151,247.2402231,8.384805898,4.466921197,14.16863081,3.449595372,1.28011206,4.31220824
1,No Till,NA,28-10-10,1000,1-May,250,Broadcast,Winter Rye,57.59026273,10.0514997,172.3841473,4.783894312,1.50931824,10.52570219,3.449595372,1.28011206,4.31220824
3,No Till,NA,28-10-10,1000,1-May,250,Broadcast,Winter Rye,53.57518609,8.614233452,171.6587449,4.497297231,1.277927857,10.52570219,3.449595372,1.28011206,4.31220824
5,No Till,NA,28-10-10,1000,1-May,250,Broadcast,Winter Rye,51.85370499,8.070624936,171.6587449,4.384233929,1.19812405,10.52570219,3.449595372,1.28011206,4.31220824
0,No Till,NA,28-10-10,1000,1-May,250,Injection,Winter Rye,75.63315045,13.01731254,211.7611317,4.706789889,2.253925399,7.009937993,3.449595294,1.28011139,4.31220824
1,No Till,NA,28-10-10,1000,1-May,250,Injection,Winter Rye,45.06624397,7.611841661,154.5672587,2.965016042,1.013827396,5.289352089,3.449595294,1.28011139,4.31220824
3,No Till,NA,28-10-10,1000,1-May,250,Injection,Winter Rye,41.74294541,6.676578854,149.7700086,2.677773197,0.659041099,5.183807495,3.449595294,1.28011139,4.31220824
5,No Till,NA,28-10-10,1000,1-May,250,Injection,Winter Rye,40.59301941,6.336973091,147.6073707,2.630681576,0.624299278,5.140326286,3.449595294,1.28011139,4.31220824
0,No Till,NA,28-10-10,1000,1-May,250,Injection,None,75.63315045,13.01731254,211.7611317,4.706789889,2.253925399,7.009937993,3.449595294,1.28011139,4.31220824
1,No Till,NA,28-10-10,1000,1-May,250,Injection,None,45.06624397,7.611841661,154.5672587,2.965016042,1.013827396,5.289352089,3.449595294,1.28011139,4.31220824
3,No Till,NA,28-10-10,1000,1-May,250,Injection,None,41.74294541,6.676578854,149.7700086,2.677773197,0.659041099,5.183807495,3.449595294,1.28011139,4.31220824
5,No Till,NA,28-10-10,1000,1-May,250,Injection,None,40.59301941,6.336973091,147.6073707,2.630681576,0.624299278,5.140326286,3.449595294,1.28011139,4.31220824
0,Till,15-Apr,28-10-10,1000,1-May,500,Injection,Winter Rye,92.0939608,15.05951408,262.4947143,5.974888084,2.843490211,8.404021107,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-May,500,Injection,Winter Rye,55.1734098,8.078369891,196.9661436,3.719326511,1.200443398,6.546808162,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,1000,1-May,500,Injection,Winter Rye,51.30495924,7.100152544,191.5383914,3.365544959,0.780135857,6.398541909,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,1000,1-May,500,Injection,Winter Rye,49.92552585,6.740647609,189.1326059,3.304672859,0.739039533,6.336835546,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,139.3356763,15.58433989,387.4771218,8.968381044,3.985058738,12.82368908,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,84.03011068,9.298628831,296.7504564,5.458707056,1.629350766,9.335919206,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,78.32446291,8.701150258,289.1402522,4.932130256,1.086423827,9.08347694,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,1000,1-Feb,1000,Injection,Winter Rye,76.26863679,8.4510614,285.7463479,4.837309937,1.03008116,8.978957645,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,500,1-May,1000,Injection,Winter Rye,95.15402392,16.97418136,265.3570326,7.311013067,2.945993046,11.57666911,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,500,1-May,1000,Injection,Winter Rye,56.61473883,7.983699037,199.4513463,4.400379325,1.206574264,8.152776711,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,500,1-May,1000,Injection,Winter Rye,52.90012794,6.978654052,193.988853,3.999294371,0.783150719,8.152776711,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,500,1-May,1000,Injection,Winter Rye,51.47159692,6.607783734,191.5483874,3.91977732,0.741751906,8.152776711,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,1000,1-May,1000,Injection,Winter Rye,125.9226905,19.09909898,367.1631301,8.817904348,3.847070902,12.9096785,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-May,1000,Injection,Winter Rye,75.08704981,9.0071662,274.9998826,5.375820186,1.574966396,9.192976806,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,1000,1-May,1000,Injection,Winter Rye,69.96487942,7.943416469,267.2822231,4.872721326,1.022946599,8.947930374,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,1000,1-May,1000,Injection,Winter Rye,68.06179324,7.545569896,263.8958128,4.779147033,0.968620392,8.947930374,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,1000,1-May,500,Broadcast,Winter Rye,117.240584,20.15489293,289.3685858,9.438677601,4.811367451,15.28769345,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-May,500,Broadcast,Winter Rye,67.26145371,11.00282015,211.1506585,5.431800328,1.801414222,11.02609838,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,1000,1-May,500,Broadcast,Winter Rye,62.78943636,9.435162409,211.1506585,5.11825997,1.524536236,11.02609838,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,1000,1-May,500,Broadcast,Winter Rye,60.85522303,8.833773469,211.1506585,4.993733589,1.429289892,11.02609838,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,163.7175708,15.5463763,410.8103509,12.47333004,5.674935853,19.29432362,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,97.20743296,9.212482018,320.5003951,7.158625452,2.554089599,13.76427236,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,91.29469914,8.614921669,320.5003951,6.74184987,2.16186757,13.76427236,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,1000,1-Feb,1000,Broadcast,Winter Rye,88.70437477,8.364955774,320.5003951,6.576981843,2.0273708,13.76427236,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,500,1-May,1000,Broadcast,Winter Rye,108.7253235,17.66876039,281.8404162,9.373929266,4.615401205,15.09841158,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,500,1-May,1000,Broadcast,Winter Rye,63.27311657,10.71470644,227.3975682,5.391197885,1.812802518,10.87084596,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,500,1-May,1000,Broadcast,Winter Rye,59.26567041,9.154740161,227.3975682,5.080489417,1.533684137,10.87084596,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,500,1-May,1000,Broadcast,Winter Rye,57.54924051,8.563338688,227.3975682,4.957540828,1.438383817,10.87084596,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,150.7109812,22.6176614,391.5805354,12.50759984,6.24930805,19.96889364,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,86.88072855,12.90173396,294.0074997,7.180886879,2.384693112,14.41253836,3.449580848,1.281603306,4.311893622
3,Till,15-Apr,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,81.20694532,11.07440573,294.0074997,6.765107918,2.017106565,14.41253836,3.449580848,1.281603306,4.311893622
5,Till,15-Apr,28-10-10,1000,1-May,1000,Broadcast,Winter Rye,78.73896893,10.36024893,294.0074997,6.59947332,1.891859178,14.41253836,3.449580848,1.281603306,4.311893622
0,Till,15-Apr,28-10-10,1000,1-May,500,Injection,None,92.0939608,15.05951407,262.4947143,5.974888084,2.843490212,8.404021107,3.449580848,1.281603306,4.311893622
1,Till,15-Apr,28-10-10,1000,1-May,500,Injection,None,55.1734098,8.078369891,196.9661436,3.719326511,1.200443398,6.546808162,3.449580848,1.281603306,4.311893622
