filter,tilling,tilling_date,NP_ratio,spring_fertilizer,spring_fertilizer_date,summer_fertilizer,fertilizer_injection,cover_crop,scenario,management_template,TN,TP,TDP,crop_yield
0,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,81,management_schedule_4.txt,6.95894322586291,1.66855484583054,0.938214792570819,2.2010123625
100,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,82,management_schedule_4.txt,3.88779284384228,0.995729321618828,0.674364184847097,2.2010123625
33.33333,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,83,management_schedule_4.txt,3.62300315488561,0.954525879058819,0.654253428158291,2.2010123625
20,TRUE,1,28_10_10,560.43,2,0,       inject,TRUE,84,management_schedule_4.txt,3.52847454933427,0.939022341875909,0.64597404275049,2.2010123625
0,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,85,management_schedule_4.txt,6.95835701935351,1.66950135688943,0.939356643048951,2.2011277375
100,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,86,management_schedule_4.txt,3.88760219139647,0.996083890919404,0.674782714942384,2.2011277375
33.33333,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,87,management_schedule_4.txt,3.62284445537192,0.954827512485365,0.65463636949107,2.2011277375
20,TRUE,15,28_10_10,560.43,2,0,       inject,TRUE,88,management_schedule_4.txt,3.5281264207438,0.939351910875369,0.646336079624577,2.2011277375
0,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,89,management_schedule_4.txt,6.66413298815131,1.00418000051969,0.289732551668435,1.5042217375
100,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,90,management_schedule_4.txt,3.57543984871165,0.495394280690785,0.185447285778947,1.5042217375
33.33333,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,91,management_schedule_4.txt,3.30805150649911,0.466882846612325,0.177642454795663,1.5042217375
20,TRUE,1,dairy_fr,560.43,2,0,       inject,TRUE,92,management_schedule_4.txt,3.21228539613282,0.456421067030481,0.174374028734066,1.5042217375
0,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,93,management_schedule_4.txt,6.66245310335687,1.00446500310794,0.290093888343754,1.5043928625
100,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,94,management_schedule_4.txt,3.57503501324161,0.495505608110683,0.185607543422909,1.5043928625
33.33333,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,95,management_schedule_4.txt,3.30788791556087,0.466940635632569,0.177778122968572,1.5043928625
20,TRUE,15,dairy_fr,560.43,2,0,       inject,TRUE,96,management_schedule_4.txt,3.21212782905213,0.456502481950011,0.174507921644002,1.5043928625
0,TRUE,1,26_13_00,1120.85,2,0,       inject,TRUE,97,management_schedule_4.txt,7.31561182379428,2.88724109243393,2.15699976428722,2.5605546125
100,TRUE,1,26_13_00,1120.85,2,0,       inject,TRUE,98,management_schedule_4.txt,4.24423522500779,1.92198277506313,1.60064713790445,2.5605546125
33.33333,TRUE,1,26_13_00,1120.85,2,0,       inject,TRUE,99,management_schedule_4.txt,3.97932518329863,1.85846591286777,1.55821577365819,2.5605546125
20,TRUE,1,26_13_00,1120.85,2,0,       inject,TRUE,100,management_schedule_4.txt,3.88479565658108,1.83376150733061,1.54073715579807,2.5605546125
0,TRUE,15,26_13_00,1120.85,2,0,       inject,TRUE,101,management_schedule_4.txt,7.31509782150604,2.88955080756419,2.15949802205941,2.5606146125
100,TRUE,15,26_13_00,1120.85,2,0,       inject,TRUE,102,management_schedule_4.txt,4.24404259153316,1.92291830013122,1.60164097276326,2.5606146125
33.33333,TRUE,15,26_13_00,1120.85,2,0,       inject,TRUE,103,management_schedule_4.txt,3.9791841227739,1.85927933177174,1.55910800401924,2.5606146125
20,TRUE,15,26_13_00,1120.85,2,0,       inject,TRUE,104,management_schedule_4.txt,3.88446470233288,1.83455348061397,1.54156159089641,2.5606146125
0,TRUE,1,28_10_10,1120.85,2,0,       inject,TRUE,105,management_schedule_4.txt,7.37539992155789,2.43402069918685,1.7037927214101,2.5969449875
100,TRUE,1,28_10_10,1120.85,2,0,       inject,TRUE,106,management_schedule_4.txt,4.30397348023393,1.57748513324882,1.25615127655504,2.5969449875
33.33333,TRUE,1,28_10_10,1120.85,2,0,       inject,TRUE,107,management_schedule_4.txt,4.03907167412185,1.52228179302484,1.22203775738071,2.5969449875
20,TRUE,1,28_10_10,1120.85,2,0,       inject,TRUE,108,management_schedule_4.txt,3.94453864630291,1.50099546547845,1.20797568068013,2.5969449875
0,TRUE,15,28_10_10,1120.85,2,0,       inject,TRUE,109,management_schedule_4.txt,7.3748985017828,2.43578840766749,1.70574881890505,2.5969972375
100,TRUE,15,28_10_10,1120.85,2,0,       inject,TRUE,110,management_schedule_4.txt,4.30380911182036,1.57822010163357,1.2569468784612,2.5969972375
33.33333,TRUE,15,28_10_10,1120.85,2,0,       inject,TRUE,111,management_schedule_4.txt,4.03893630351735,1.5228887736921,1.22272144143152,2.5969972375
20,TRUE,15,28_10_10,1120.85,2,0,       inject,TRUE,112,management_schedule_4.txt,3.94421490455843,1.50162042246168,1.20862930158805,2.5969972375
0,TRUE,1,dairy_fr,1120.85,2,0,       inject,TRUE,113,management_schedule_4.txt,6.79373382547654,1.12773725034766,0.426445950049342,1.6321504875
100,TRUE,1,dairy_fr,1120.85,2,0,       inject,TRUE,114,management_schedule_4.txt,3.6766800762937,0.586229180562086,0.284883746173363,1.6321504875
33.33333,TRUE,1,dairy_fr,1120.85,2,0,       inject,TRUE,115,management_schedule_4.txt,3.40738789119818,0.554903279068751,0.274182103403123,1.6321504875
20,TRUE,1,dairy_fr,1120.85,2,0,       inject,TRUE,116,management_schedule_4.txt,3.3114801266013,0.543434288782206,0.269770576734124,1.6321504875
0,TRUE,15,dairy_fr,1120.85,2,0,       inject,TRUE,117,management_schedule_4.txt,6.79452006819886,1.12775010846241,0.426983864167886,1.6323019875
100,TRUE,15,dairy_fr,1120.85,2,0,       inject,TRUE,118,management_schedule_4.txt,3.67680020875392,0.586328721955431,0.28509719581643,1.6323019875
